element_id,element_label,record_type,record_id,indicator_id,country_iso3,year,value,unit,name,latitude,longitude,attributes_json,missing_reason_code,note,source_org,source_url,license_code,source_file,source_sheet,source_row,publication_decision_id
A-004,빈곤율; 극빈곤율,observation,vnm-v121-a-004-obs-25-1165d03666372d6b,A-004_poverty_rate_national,VNM,2014,13.5,%,,,,,,,World Bank,https://data.worldbank.org/indicator/SI.POV.NAHC?locations=VN,CC-BY-4.0,A-004_빈곤율; 극빈곤율.xlsx,1.1_observation(측정값),25,
A-004,빈곤율; 극빈곤율,observation,vnm-v121-a-004-obs-26-eeb9f427530887cf,A-004_poverty_rate_national,VNM,2015,,%,,,,,M01,[M01·원자료 결측] 베트남 가계생활수준조사(VHLSS)가 시행되지 않았거나 세계은행 PIP에 해당 연도 추정치가 등재되지 않아 원천이 값을 제공하지 않음.,World Bank,https://data.worldbank.org/indicator/SI.POV.NAHC?locations=VN,CC-BY-4.0,A-004_빈곤율; 극빈곤율.xlsx,1.1_observation(측정값),26,
A-004,빈곤율; 극빈곤율,observation,vnm-v121-a-004-obs-27-f7c52e5bd04be34a,A-004_poverty_rate_national,VNM,2016,9.2,%,,,,,,,World Bank,https://data.worldbank.org/indicator/SI.POV.NAHC?locations=VN,CC-BY-4.0,A-004_빈곤율; 극빈곤율.xlsx,1.1_observation(측정값),27,
A-004,빈곤율; 극빈곤율,observation,vnm-v121-a-004-obs-28-d66393ac059458fe,A-004_poverty_rate_national,VNM,2017,7.9,%,,,,,,,World Bank,https://data.worldbank.org/indicator/SI.POV.NAHC?locations=VN,CC-BY-4.0,A-004_빈곤율; 극빈곤율.xlsx,1.1_observation(측정값),28,
A-004,빈곤율; 극빈곤율,observation,vnm-v121-a-004-obs-29-41284b8db3ab5958,A-004_poverty_rate_national,VNM,2018,6.8,%,,,,,,,World Bank,https://data.worldbank.org/indicator/SI.POV.NAHC?locations=VN,CC-BY-4.0,A-004_빈곤율; 극빈곤율.xlsx,1.1_observation(측정값),29,
A-004,빈곤율; 극빈곤율,observation,vnm-v121-a-004-obs-30-4c67ab4003a5522a,A-004_poverty_rate_national,VNM,2019,5.7,%,,,,,,,World Bank,https://data.worldbank.org/indicator/SI.POV.NAHC?locations=VN,CC-BY-4.0,A-004_빈곤율; 극빈곤율.xlsx,1.1_observation(측정값),30,
A-004,빈곤율; 극빈곤율,observation,vnm-v121-a-004-obs-31-8bede1d6dc78b2d6,A-004_poverty_rate_national,VNM,2020,4.8,%,,,,,,,World Bank,https://data.worldbank.org/indicator/SI.POV.NAHC?locations=VN,CC-BY-4.0,A-004_빈곤율; 극빈곤율.xlsx,1.1_observation(측정값),31,
A-004,빈곤율; 극빈곤율,observation,vnm-v121-a-004-obs-32-e97e2cb463378dd4,A-004_poverty_rate_national,VNM,2021,4.4,%,,,,,,,World Bank,https://data.worldbank.org/indicator/SI.POV.NAHC?locations=VN,CC-BY-4.0,A-004_빈곤율; 극빈곤율.xlsx,1.1_observation(측정값),32,
A-004,빈곤율; 극빈곤율,observation,vnm-v121-a-004-obs-33-3e59bbe6a1538db9,A-004_poverty_rate_national,VNM,2022,4.2,%,,,,,,,World Bank,https://data.worldbank.org/indicator/SI.POV.NAHC?locations=VN,CC-BY-4.0,A-004_빈곤율; 극빈곤율.xlsx,1.1_observation(측정값),33,
A-004,빈곤율; 극빈곤율,observation,vnm-v121-a-004-obs-34-e4d70882d0c77fb5,A-004_poverty_rate_extreme_intl,VNM,1992,57.5,%,,,,,,,World Bank,https://data.worldbank.org/indicator/SI.POV.DDAY?locations=VN,CC-BY-4.0,A-004_빈곤율; 극빈곤율.xlsx,1.1_observation(측정값),34,
